Country,Spearman_RF_DT_top20,Spearman_RF_XGB_top20,Spearman_DT_XGB_top20,Jaccard_RF_DT_top20,Jaccard_RF_XGB_top20,Jaccard_DT_XGB_top20,Mean_Spearman,Mean_Jaccard
Armenia,0.4984496124031007,0.5192139737991266,0.3682170542635658,0.6,0.6666666666666666,0.6,0.4619602134885978,0.6222222222222222
Tanzania,0.5953488372093023,0.5730103806228373,0.193167701863354,0.6,0.5384615384615384,0.4814814814814814,0.4538423065651645,0.5399810066476732
Uganda,0.6767441860465117,0.2906976744186046,0.368122270742358,0.6,0.6,0.6666666666666666,0.4451880437358247,0.6222222222222222
Guatemala,0.713953488372093,0.4083044982698962,0.2091703056768559,0.6,0.5384615384615384,0.6666666666666666,0.4438094307729484,0.6017094017094017
Bangladesh,0.4213973799126637,0.6471615720524019,0.2612403100775193,0.6666666666666666,0.6666666666666666,0.6,0.44326642068086164,0.6444444444444444
Cote d_Ivoire,0.6372093023255815,0.4792079207920792,0.1968992248062015,0.6,0.7391304347826086,0.6,0.43777214930795405,0.6463768115942029
South Africa,0.4370242214532872,0.6768558951965065,0.1930232558139535,0.5384615384615384,0.6666666666666666,0.6,0.4356344574879157,0.6017094017094017
Azerbaijan,0.489922480620155,0.6131004366812227,0.1910034602076124,0.6,0.6666666666666666,0.5384615384615384,0.4313421258363301,0.6017094017094017
Kyrgyz Republic,0.3147286821705426,0.8779661016949154,0.0875968992248062,0.6,0.8181818181818182,0.6,0.4267638943634214,0.6727272727272727
Gabon,0.5534883720930233,0.4643410852713178,0.2581395348837209,0.6,0.6,0.6,0.4253229974160206,0.6
Gambia,0.4434108527131783,0.5677966101694916,0.2605536332179931,0.6,0.8181818181818182,0.5384615384615384,0.4239203653668877,0.6522144522144523
Madagascar,0.640484429065744,0.3474576271186441,0.2666666666666666,0.5384615384615384,0.8181818181818182,0.6,0.4182029076170182,0.6522144522144523
Zimbabwe,0.5764705882352941,0.3470588235294117,0.3069767441860465,0.5384615384615384,0.5384615384615384,0.6,0.41016871865025073,0.5589743589743589
Philippines,0.6891472868217055,0.3225988700564972,0.2161572052401746,0.6,0.8181818181818182,0.6666666666666666,0.40930112070612573,0.694949494949495
Honduras,0.5439446366782007,0.4501730103806228,0.231055900621118,0.5384615384615384,0.5384615384615384,0.4814814814814814,0.40839118255998047,0.5194681861348528
Indonesia,0.5910891089108911,0.4423580786026201,0.1852713178294573,0.7391304347826086,0.6666666666666666,0.6,0.4062395017809895,0.6685990338164252
Namibia,0.4639751552795031,0.4612403100775193,0.2830449826989619,0.4814814814814814,0.6,0.5384615384615384,0.40275348268532807,0.5399810066476732
Nicaragua,0.3459627329192546,0.5801980198019802,0.2730103806228374,0.4814814814814814,0.7391304347826086,0.5384615384615384,0.39972371111469074,0.5863578182418762
